states,pop
alabama,3398289
alaska,477763
arizona,4096006
arkansas,2033146
california,21993429
colorado,3441907
connecticut,2451296
delaware,622664
district of columbia,438201
florida,12426633
georgia,6390590
hawaii,898922
idaho,1034402
illinois,8794625
indiana,4634261
iowa,2199849
kansas,1978713
kentucky,3156794
louisiana,3158676
maine,1024699
maryland,3888726
massachusetts,4652749
michigan,7263250
minnesota,3721943
mississippi,2114108
missouri,4296592
montana,741538
nebraska,1278980
nevada,1652846
new hampshire,997247
new jersey,5844477
new mexico,1376025
new york,13183464
north carolina,6551412
north dakota,486871
ohio,8541239
oklahoma,2578351
oregon,2695058
pennsylvania,9363381
rhode island,754438
south carolina,3279329
south dakota,598635
tennessee,4533233
texas,14780857
utah,1787350
vermont,487430
virginia,5500265
washington,4535438
west virginia,1409823
wisconsin,4113565
wyoming,389304
